Timestamp           | Category | Count | Score |
---------------------------------------------------
2023-09-27 04:57:37 | numbers | 10 | 310.177

2023-09-27 04:58:22 | numbers | 10 | 255.764

2023-09-27 04:59:53 | words | 25 | 1806.571

2023-09-27 05:01:12 | words | 25 | 1591.452

2023-09-27 18:11:06 | words | 25 | 19

2023-09-27 18:13:05 | numbers | 10 | 12

2023-09-27 18:14:32 | numbers | 3 | 33.816

2023-09-27 20:49:12 | words | 61 | 9815.932

2023-09-27 21:27:37 | numbers | 10 | 271.62

2023-09-29 03:13:12 | words | 61 | 14615.815

2023-09-29 03:18:20 | numbers | 10 | 315.774

2023-09-29 03:27:11 | sentences | 21 | 3424.213

